name,type,start_time,duration,"mosi","miso"
"SPI","result",7.147092,4e-06,0b00001000,0b00000000
"SPI","result",7.14709625,3.25e-06,0b00000000,0b00000000
"SPI","disable",7.1470995,2.49999999e-07,,
"SPI","enable",7.1471,2.5e-07,,
"SPI","result",7.1471035,3.75e-06,0b00000001,0b00000000
"SPI","result",7.1471075,3.75e-06,0b00001011,0b00000000
"SPI","result",7.147113,3.75e-06,0b00000000,0b00000000
"SPI","result",7.147117,3.75e-06,0b00000000,0b00000000
"SPI","result",7.147125,3.75e-06,0b00000001,0b00000000
"SPI","result",7.147129,4e-06,0b00001100,0b00000000
"SPI","result",7.14713425,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14713825,3.25e-06,0b00001010,0b00000000
"SPI","disable",7.1471415,2.50000001e-07,,
"SPI","enable",7.14714225,2.5e-07,,
"SPI","result",7.1471455,3.75e-06,0b00000001,0b00000000
"SPI","result",7.1471495,3.75e-06,0b00001101,0b00000000
"SPI","result",7.147155,3.75e-06,0b00000011,0b00000000
"SPI","result",7.147159,4e-06,0b00000010,0b00000000
"SPI","result",7.147167,4e-06,0b00000001,0b00000000
"SPI","result",7.14717125,3.75e-06,0b00001110,0b00000000
"SPI","result",7.14717625,3.75e-06,0b00001100,0b00000000
"SPI","result",7.14718025,3.25e-06,0b00000011,0b00000000
"SPI","disable",7.1471835,2.5e-07,,
"SPI","enable",7.14718425,2.5e-07,,
"SPI","result",7.1471875,3.75e-06,0b00000001,0b00000000
"SPI","result",7.1471915,3.75e-06,0b00001111,0b00000000
"SPI","result",7.147197,4e-06,0b00000000,0b00000000
"SPI","result",7.14720125,3.75e-06,0b00000111,0b00000000
"SPI","result",7.14720925,3.75e-06,0b00000010,0b00000000
"SPI","result",7.14721325,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14721825,3.75e-06,0b00000001,0b00000000
"SPI","result",7.14722225,3.25e-06,0b00000110,0b00000000
"SPI","disable",7.1472255,2.49999999e-07,,
"SPI","enable",7.14722625,2.50000001e-07,,
"SPI","result",7.1472295,3.75e-06,0b00000010,0b00000000
"SPI","result",7.1472335,4e-06,0b00000001,0b00000000
"SPI","result",7.14723925,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14724325,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14725125,3.75e-06,0b00000010,0b00000000
"SPI","result",7.14725525,3.75e-06,0b00000010,0b00000000
"SPI","result",7.14726025,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14726425,3.25e-06,0b00000000,0b00000000
"SPI","disable",7.1472675,2.5e-07,,
